# Ứng viên bảng thuật ngữ, rút từ corpus nmi.vn.
# CẦN NGƯỜI DUYỆT: một thuật ngữ dịch sai ở đây đi vào MỌI video sau đó.
#
# term_src: thuật ngữ tiếng Anh xuất hiện trong câu tiếng Việt của nmi.vn
# term_vi:  ĐIỀN TAY. Để trống hoặc ghi lại chính term_src nghĩa là
#           'giữ nguyên tiếng Anh' — cũng là một quyết định hợp lệ và
#           thường là đúng với Cpk, MES, OPC UA.
# domain:   spc | msa | mes | historian | vision | connectivity
#
term_src	term_vi	domain	so_lan	vi_du
SAP			5	Chưa có connector dựng sẵn cho ERP hay SAP.
BOM			5	Phân tích SPC, kế hoạch kiểm tra, BOM, routing, ECR
OPC DA			5	OPC DA Classic chưa hỗ trợ.
SDK			5	SDK camera Hikrobot · thư viện xử lý ảnh
ONVIF			5	Camera: chỉ Hikrobot GigE. Chưa hỗ trợ hãng khác, không RTSP, không ONVIF, không USB.
TXT			4	Nhập tay trên web; thước điện tử Mitutoyo U-WAVE qua cổng COM RS-232; thu tại trình duyệt qua Web Serial; upload file CMM/Excel/CSV/TXT theo profile; tự động im
COM			4	Thước Mitutoyo U-WAVE nối vào cổng COM của máy chủ; giá trị đo đẩy thẳng vào ô đang được focus trên form nhập liệu theo thời gian thực, có ràng buộc thiết bị vớ
AQL			4	Kế hoạch lấy mẫu AQL
PC			4	Hỗ trợ cả khung 3E và 1E, các dòng Q, iQ-R, iQ-F, L và FX3U, FX3G, A, có định tuyến theo số hiệu mạng và số hiệu PC.
AIAG			3	X̄-R, X̄-S và I-MR với đường tâm, UCL/LCL và dải vùng ±1σ, ±2σ, ±3σ. Hằng số chuẩn dẫn nguồn AIAG và Montgomery cho n = 2 đến 25, có unit test kèm theo.
NCR			3	Báo cáo NCR
OCR			3	Trích xuất đặc tính từ bản vẽ PDF chỉ đọc lớp text, chưa có OCR ảnh.
MRP			3	Lệnh sản xuất, MRP, lập lịch theo slot, kho và lô
SECS			3	Chưa có SECS/GEM, RFID hay mã vạch một chiều. Nhãn hiện chỉ là QR.
GEM			3	Chưa có SECS/GEM, RFID hay mã vạch một chiều. Nhãn hiện chỉ là QR.
RFID			3	Chưa có SECS/GEM, RFID hay mã vạch một chiều. Nhãn hiện chỉ là QR.
ROI			3	ROI đa giác
LOGO			3	Siemens S7-1200 / S7-1500 / LOGO!, Mitsubishi MC và FX3U, Keyence
MC			3	Siemens S7-1200 / S7-1500 / LOGO!, Mitsubishi MC và FX3U, Keyence
HMI			3	Client PLC Siemens S7 · buffer trên đĩa · màn hình HMI
MELSEC			3	Lớp edge của Q One MES có bảy giao thức với driver riêng cho từng loại, không phải một lớp bọc chung. Riêng phần Mitsubishi MELSEC hỗ trợ cả khung 3E và 1E cho 
UCL			2	X̄-R, X̄-S và I-MR với đường tâm, UCL/LCL và dải vùng ±1σ, ±2σ, ±3σ. Hằng số chuẩn dẫn nguồn AIAG và Montgomery cho n = 2 đến 25, có unit test kèm theo.
LCL			2	X̄-R, X̄-S và I-MR với đường tâm, UCL/LCL và dải vùng ±1σ, ±2σ, ±3σ. Hằng số chuẩn dẫn nguồn AIAG và Montgomery cho n = 2 đến 25, có unit test kèm theo.
EWMA			2	Chưa có EWMA, CUSUM, kiểm định phân phối chuẩn hay biểu đồ nhân quả.
CUSUM			2	Chưa có EWMA, CUSUM, kiểm định phân phối chuẩn hay biểu đồ nhân quả.
QR			2	Workflow phê duyệt, quản lý tài liệu, nhãn QR
Cp/Cpk/Pp/Ppk			2	Bộ quy tắc Western Electric WE1–WE4 và Nelson N1–N8 chạy trên dữ liệu vừa nạp, cùng Cp/Cpk/Pp/Ppk và dải vùng sigma. Vi phạm sinh cảnh báo, và hành động xử lý c
OP-30			2	Thấp nhất là đường kính lỗ Ø12 H7 ở nguyên công OP-30.
